Topic ID,Average Similarity,Max Similarity,Min Similarity
0,0.11961255,0.24324563,0.03068145
1,0.25728455,0.700311,-0.00581515
2,0.5497894,0.6644409,0.24206899
3,0.087782994,0.18511423,-0.04135416
4,0.21207705,0.35992092,0.033144712
5,0.058711044,0.17262359,-0.07639023
6,0.634105,0.7505114,0.2360388
7,0.06250423,0.24082097,-0.044315062
8,0.19882382,0.31777745,0.0014558807
9,0.5891893,0.6946361,0.1663188
10,0.5944738,0.7044028,0.4721427
11,0.13472633,0.29387274,0.060238134
12,0.17494245,0.29086998,0.0605896
13,0.20516223,0.29627815,0.10167161
14,0.1414155,0.40920776,-0.034821056
15,0.29581454,0.4262994,0.072343715
16,0.3130449,0.5558225,0.09970836
17,0.15159437,0.29021066,1.7598271e-05
18,0.086562894,0.23354036,-0.026499936
19,0.10551184,0.26863784,-0.017285585
20,0.16814566,0.25006968,0.06362163
21,0.17850254,0.2745515,0.086529925
22,0.5836397,0.7233287,0.386523
23,0.11162637,0.18185323,0.013948749
24,0.16707534,0.25604236,0.11234681
25,0.041464545,0.11428122,-0.027138054
26,0.15473124,0.28744754,0.07121657
27,0.3597286,0.40038952,0.24045649
28,0.24724378,0.30877933,0.11643505
29,0.015637303,0.08788297,-0.06175191
30,0.18825269,0.26838046,0.07026369
31,0.17022529,0.33419764,0.03419313
32,0.18306638,0.27831393,0.12321009
33,0.17795807,0.24321613,0.0891515
34,0.03542484,0.14972687,-0.03743463
35,0.19823891,0.28932416,0.016906189
36,0.19502033,0.3184879,0.020012576
37,0.09590455,0.16885656,0.038875047
38,0.2366833,0.36809164,0.11662888
39,0.122578315,0.21414104,0.046229266
40,0.0891744,0.2991671,-0.010749156
41,0.21324754,0.342189,0.07929613
42,0.1512138,0.34892896,0.03751964
43,0.12653391,0.24346805,0.057626873
44,0.19142751,0.35262054,0.12655875
45,0.089230604,0.20985198,-0.004597473
46,0.16796683,0.24914739,0.014344452
47,0.2734916,0.34840435,0.12125058
48,0.23186786,0.32989788,0.11025901
49,0.16608733,0.25959873,0.11250035
50,0.13648114,0.40658373,0.06157753
51,0.18101563,0.26087913,0.049956627
52,0.17230693,0.4429276,0.049640745
53,0.092424385,0.13017851,0.02806799
54,0.108145595,0.16904321,0.052729763
55,0.23404169,0.3121548,0.16272278
56,0.18732063,0.33714625,0.046923764
57,0.12354954,0.18130267,0.07726863
58,0.24936362,0.49670857,0.12173396
59,0.23013459,0.4507528,0.07716491
60,0.14351732,0.31525046,0.016651794
61,0.2136666,0.27779454,0.15652435
62,0.1679238,0.21680093,0.102554515
